pos,pos_frac,trial,seed,correct
1,0.14285714285714285,26,68,1.0
2,0.2857142857142857,26,68,0.0
3,0.42857142857142855,26,68,0.0
4,0.5714285714285714,26,68,0.0
5,0.7142857142857143,26,68,0.0
6,0.8571428571428571,26,68,0.0
7,1.0,26,68,0.0
0,0.0,27,69,0.0
1,0.14285714285714285,27,69,0.0
2,0.2857142857142857,27,69,1.0
3,0.42857142857142855,27,69,0.0
4,0.5714285714285714,27,69,0.0
5,0.7142857142857143,27,69,1.0
6,0.8571428571428571,27,69,0.0
7,1.0,27,69,0.0
0,0.0,28,70,0.0
1,0.14285714285714285,28,70,0.0
2,0.2857142857142857,28,70,1.0
3,0.42857142857142855,28,70,1.0
4,0.5714285714285714,28,70,0.0
5,0.7142857142857143,28,70,0.0
6,0.8571428571428571,28,70,0.0
7,1.0,28,70,1.0
0,0.0,29,71,0.0
1,0.14285714285714285,29,71,0.0
2,0.2857142857142857,29,71,0.0
3,0.42857142857142855,29,71,1.0
4,0.5714285714285714,29,71,0.0
5,0.7142857142857143,29,71,1.0
6,0.8571428571428571,29,71,0.0
7,1.0,29,71,1.0
